N,M,L,Analytical KL,Ground Truth MC KL,Ground Truth MC KL (CI),MC KL,MC KL (CI),Disc KL,Disc KL (CI)
-,20,20,-,2.8305471897125245,0.0034036348598503394,3.245418834686279,0.8200425167694626,1.8315210580825805,0.9117626117317509
-,20,200,-,2.830114221572876,0.004316792933505759,2.6989272594451905,0.09539140794673741,1.1931599855422974,0.42982615065403207
-,20,2000,-,2.827374744415283,0.0022144122324613933,2.8329381942749023,0.03181646718371508,1.5116969347000122,0.380763952317626
-,200,20,-,2.8295220375061034,0.003798386414904991,2.6386971950531004,0.4040860195293516,3.1013870239257812,0.7791805876852063
-,200,200,-,2.830079364776611,0.002596303229767112,2.6685859680175783,0.11753284834620463,2.6863741874694824,0.2943101454466148
-,200,2000,-,2.8288489818572997,0.005543271274178051,2.8865740299224854,0.04476924594235435,3.0367762565612795,0.5169186778300203
-,2000,20,-,2.8265679359436033,0.003573268031078181,2.974195051193237,0.6260773906700046,2.7711474657058717,0.7511826475368366
-,2000,200,-,2.8293102741241456,0.0033100120366906863,2.7097233295440675,0.10008760559087058,2.62759051322937,0.3569231459300332
-,2000,2000,-,2.8297022342681886,0.0035571562916989455,2.8503008842468263,0.07124563421267546,2.9125017166137694,0.1286617623042541
