N,M,L,Ground Truth MC JS,Ground Truth MC JS (CI),MC JS,MC JS (CI),Disc JS,Disc JS (CI)
-,20,20,0.4223610579967499,0.00048422554039343017,0.49049136638641355,0.08295937847821735,0.37103666067123414,0.07817246318185302
-,20,200,0.42208110094070433,0.0006263730082789117,0.43931100964546205,0.017236349144225973,0.32846248149871826,0.057810877485364294
-,20,2000,0.4216668725013733,0.0007924890165891635,0.4225957036018372,0.006286753631248419,0.33130075931549074,0.039006454020618274
-,200,20,0.42214442491531373,0.0008409636045030772,0.4045446813106537,0.0659203774065652,0.33970354199409486,0.11412224529427038
-,200,200,0.4222648799419403,0.0007601100887810847,0.3922760486602783,0.013445512747110458,0.37362041473388674,0.020423288663239707
-,200,2000,0.4218255281448364,0.0008561949112167301,0.42781250476837157,0.0094690405713248,0.4122936189174652,0.008863524875621883
-,2000,20,0.4216324746608734,0.0005743643328600172,0.48099310994148253,0.08960419399342402,0.4740473687648773,0.09564407528359994
-,2000,200,0.4220121920108795,0.0007058474639684727,0.41503041982650757,0.019885353831142445,0.4120001196861267,0.018689280226377517
-,2000,2000,0.42213441133499147,0.0005218343030609571,0.42255963683128356,0.013722357409433117,0.4197685122489929,0.012814812008546684
