N,M,L,Analytical KL,Ground Truth MC KL,Ground Truth MC KL (CI),MC KL,MC KL (CI),Disc KL,Disc KL (CI)
-,20,20,1.0349557757377625,1.0365652322769165,0.18341486991859557,1.1684577822685243,0.202545036641486,0.8022958636283875,0.15179958572256338
-,20,200,1.0349557757377625,1.0357178568840026,0.1833338598926053,1.025711750984192,0.22096861788885075,0.708649879693985,0.24823635435081212
-,20,2000,1.0349557757377625,1.036928403377533,0.18250259578723757,1.024483036994934,0.19261022845627856,0.6650003671646119,0.0842436371785828
-,200,20,1.0349557757377625,1.0351544499397278,0.18316935530325273,1.2206612467765807,0.4221475512094088,0.9910946488380432,0.5199816445987981
-,200,200,1.0349557757377625,1.0340839624404907,0.1825348329069028,1.113660717010498,0.2573443754808881,1.0991622447967528,0.22750723674084578
-,200,2000,1.0349557757377625,1.0348847270011903,0.18187328964974162,1.026124620437622,0.19087671282109667,0.9548879981040954,0.10142530919649285
-,2000,20,1.0349557757377625,1.034543013572693,0.1833478503276575,0.8405242204666138,0.1898916652516062,0.8328557074069977,0.22942854612226293
-,2000,200,1.0349557757377625,1.0348487138748168,0.18315214431745905,1.004114031791687,0.19049182734599832,0.9775937795639038,0.18527278765067334
-,2000,2000,1.0349557757377625,1.0340498208999633,0.18205531392493646,1.05550537109375,0.21215179550639313,1.0604220151901245,0.199989356953436
